Datum;Aanwezig op IC verdacht of bewezen Corona;Aanwezig op verpleegafdeling verdacht of bewezen Corona;Opname IC Corona;Opname IC verdacht;Opname IC totaal;Opname verpleegafdeling Corona;Opname verpleegafdeling verdacht;Opname verpleegafdeling totaal;Overleden;Levend het ziekenhuis verlaten;Levend de IC verlaten;Cumulatief op IC (geweest) verdacht of bewezen Corona;Cumulatief op verpleegafdeling (geweest) verdacht of bewezen Corona
2020-04-03;1279;2453;77;0;77;339;51;390;292;140;160;1841;6301
2020-04-02;1251;2447;95;3;98;350;37;387;260;119;153;1764;5952
2020-04-01;1209;2470;75;2;77;316;36;352;238;104;142;1666;5622
2020-03-31;1192;2566;112;1;113;309;40;349;214;86;131;1590;5317
2020-03-30;1126;2639;127;2;129;442;29;471;180;69;122;1477;5028
2020-03-29;1042;2493;91;2;93;258;17;275;160;61;103;1348;4628
2020-03-28;994;2540;102;2;104;303;23;326;135;51;90;1255;4403
2020-03-27;930;2602;114;1;115;562;34;596;117;47;74;1151;4129
2020-03-26;846;2341;111;4;115;443;32;475;103;41;57;1034;3592
2020-03-25;759;2145;120;2;122;442;22;464;85;31;54;919;3168
2020-03-24;658;1927;112;1;113;428;25;453;74;25;47;798;2754
2020-03-23;578;1675;97;3;100;454;23;477;64;21;42;685;2345
2020-03-22;488;1348;74;1;75;236;18;254;47;18;30;584;1909
2020-03-21;437;1246;81;3;84;204;13;217;41;16;27;509;1686
2020-03-20;367;1166;82;1;83;241;25;266;30;14;17;425;1505
2020-03-19;296;993;66;2;68;261;24;285;25;12;12;342;1261
2020-03-18;236;784;56;0;56;177;14;191;17;12;10;274;993
2020-03-17;185;656;35;0;35;145;12;157;14;8;9;218;816
